language,url
Arabic (Chadian),https://aclanthology.org/2021.woah-1.2
Arabic (Beirut),https://aclanthology.org/2021.woah-1.2
Arabic (Bahrain),https://aclanthology.org/2021.woah-1.2
Arabic (Egyptian),https://aclanthology.org/2021.woah-1.2
Arabic (Eastern Libyan),https://aclanthology.org/2021.woah-1.2
Arabic (Bani-Hassan),https://aclanthology.org/2021.woah-1.2
Arabic (Kormakiti),https://aclanthology.org/2021.woah-1.2
Arabic (Moroccan),https://aclanthology.org/2021.woah-1.2
Arabic (Modern Standard),https://aclanthology.org/2021.woah-1.2
Arabic (North Levantine Spoken),https://aclanthology.org/2021.woah-1.2
Arabic (Palestinian),https://aclanthology.org/2021.woah-1.2
Arabic (Gulf),https://aclanthology.org/2021.woah-1.2
Arabic (Hijazi),https://aclanthology.org/2021.woah-1.2
Arabic (Kuwaiti),https://aclanthology.org/2021.woah-1.2
Arabic (Lebanese),https://aclanthology.org/2021.woah-1.2
Arabic (Borno Nigerian),https://aclanthology.org/2021.woah-1.2
Arabic (Iraqi),https://aclanthology.org/2021.woah-1.2
Arabic (San'ani),https://aclanthology.org/2021.woah-1.2
Arabic (Negev),https://aclanthology.org/2021.woah-1.2
Arabic (Syrian),https://aclanthology.org/2021.woah-1.2
Arabic (Tunisian),https://aclanthology.org/2021.woah-1.2
English,https://aclanthology.org/2021.woah-1.2
French,https://aclanthology.org/2021.woah-1.2
German (Upper Austrian),https://aclanthology.org/2021.woah-1.2
German (Bavarian),https://aclanthology.org/2021.woah-1.2
German (Bern),https://aclanthology.org/2021.woah-1.2
German (Berlin),https://aclanthology.org/2021.woah-1.2
German,https://aclanthology.org/2021.woah-1.2
German (Hannover),https://aclanthology.org/2021.woah-1.2
German (Mansfeldisch),https://aclanthology.org/2021.woah-1.2
German (Ostschweiz),https://aclanthology.org/2021.woah-1.2
German (Appenzell),https://aclanthology.org/2021.woah-1.2
German (Ripuarian),https://aclanthology.org/2021.woah-1.2
German (Thurgau),https://aclanthology.org/2021.woah-1.2
German (Thuringian),https://aclanthology.org/2021.woah-1.2
German (Timisoara),https://aclanthology.org/2021.woah-1.2
German (Viennese),https://aclanthology.org/2021.woah-1.2
German (Westphalian),https://aclanthology.org/2021.woah-1.2
German (Zurich),https://aclanthology.org/2021.woah-1.2
English,https://aclanthology.org/2021.woah-1.3
Dutch (Brabantic),https://aclanthology.org/2021.woah-1.6
Dutch (Limburg),https://aclanthology.org/2021.woah-1.6
Dutch,https://aclanthology.org/2021.woah-1.6
Dutch (Zeeuws),https://aclanthology.org/2021.woah-1.6
English,https://aclanthology.org/2021.woah-1.7
German (Upper Austrian),https://aclanthology.org/2021.woah-1.7
German (Bavarian),https://aclanthology.org/2021.woah-1.7
German (Bern),https://aclanthology.org/2021.woah-1.7
German (Berlin),https://aclanthology.org/2021.woah-1.7
German,https://aclanthology.org/2021.woah-1.7
German (Hannover),https://aclanthology.org/2021.woah-1.7
