language,url
English,https://aclanthology.org/2021.woah-1.2
French,https://aclanthology.org/2021.woah-1.2
German,https://aclanthology.org/2021.woah-1.2
English,https://aclanthology.org/2021.woah-1.3
So,https://aclanthology.org/2021.woah-1.5
Dutch,https://aclanthology.org/2021.woah-1.6
English,https://aclanthology.org/2021.woah-1.7
German,https://aclanthology.org/2021.woah-1.7
Nepali,https://aclanthology.org/2021.woah-1.7
Portuguese,https://aclanthology.org/2021.woah-1.8
English,https://aclanthology.org/2021.woah-1.9
One,https://aclanthology.org/2021.woah-1.9
English,https://aclanthology.org/2021.woah-1.11
Even,https://aclanthology.org/2021.woah-1.12
English,https://aclanthology.org/2021.woah-1.13
German,https://aclanthology.org/2021.woah-1.13
Low German,https://aclanthology.org/2021.woah-1.13
One,https://aclanthology.org/2021.woah-1.15
English,https://aclanthology.org/2021.woah-1.16
One,https://aclanthology.org/2021.woah-1.17
So,https://aclanthology.org/2021.woah-1.19
English,https://aclanthology.org/2021.woah-1.20
Burmese,https://aclanthology.org/2021.wat-1.7
One,https://aclanthology.org/2021.wat-1.10
English,https://aclanthology.org/2021.wat-1.11
Japanese,https://aclanthology.org/2021.wat-1.11
Japanese,https://aclanthology.org/2021.wat-1.12
One,https://aclanthology.org/2021.wat-1.12
English,https://aclanthology.org/2021.wat-1.13
Japanese,https://aclanthology.org/2021.wat-1.13
Korean,https://aclanthology.org/2021.wat-1.13
One,https://aclanthology.org/2021.wat-1.13
Hindi,https://aclanthology.org/2021.wat-1.16
Malayalam,https://aclanthology.org/2021.wat-1.16
English,https://aclanthology.org/2021.wat-1.17
Hindi,https://aclanthology.org/2021.wat-1.17
One,https://aclanthology.org/2021.wat-1.17
One,https://aclanthology.org/2021.wat-1.18
English,https://aclanthology.org/2021.wat-1.19
Hindi,https://aclanthology.org/2021.wat-1.19
English,https://aclanthology.org/2021.wat-1.21
Kannada,https://aclanthology.org/2021.wat-1.21
Tamil,https://aclanthology.org/2021.wat-1.21
English,https://aclanthology.org/2021.wat-1.22
Even,https://aclanthology.org/2021.wat-1.22
English,https://aclanthology.org/2021.wat-1.23
One,https://aclanthology.org/2021.wat-1.24
Tem,https://aclanthology.org/2021.wat-1.25
Bengali,https://aclanthology.org/2021.wat-1.27
English,https://aclanthology.org/2021.wat-1.27
Gujarati,https://aclanthology.org/2021.wat-1.27
Hindi,https://aclanthology.org/2021.wat-1.27
Kannada,https://aclanthology.org/2021.wat-1.27
Marathi,https://aclanthology.org/2021.wat-1.27
Malayalam,https://aclanthology.org/2021.wat-1.27
Oriya,https://aclanthology.org/2021.wat-1.27
Telugu,https://aclanthology.org/2021.wat-1.27
Tamil,https://aclanthology.org/2021.wat-1.27
English,https://aclanthology.org/2021.wat-1.28
One,https://aclanthology.org/2021.wat-1.28
English,https://aclanthology.org/2021.wat-1.29
Malayalam,https://aclanthology.org/2021.wat-1.29
Telugu,https://aclanthology.org/2021.wat-1.29
Tamil,https://aclanthology.org/2021.wat-1.29
One,https://aclanthology.org/2021.wat-1.30
English,https://aclanthology.org/2021.wassa-1.4
English,https://aclanthology.org/2021.wassa-1.5
Italian,https://aclanthology.org/2021.wassa-1.8
One,https://aclanthology.org/2021.wassa-1.8
So,https://aclanthology.org/2021.wassa-1.8
English,https://aclanthology.org/2021.wassa-1.9
Even,https://aclanthology.org/2021.wassa-1.13
One,https://aclanthology.org/2021.wassa-1.15
Dutch,https://aclanthology.org/2021.wassa-1.16
English,https://aclanthology.org/2021.wassa-1.16
One,https://aclanthology.org/2021.wassa-1.16
Slovene,https://aclanthology.org/2021.wassa-1.16
Even,https://aclanthology.org/2021.wassa-1.17
English,https://aclanthology.org/2021.wassa-1.20
Sindhi,https://aclanthology.org/2021.wassa-1.20
Bengali,https://aclanthology.org/2021.wassa-1.23
English,https://aclanthology.org/2021.wassa-1.23
Hindi,https://aclanthology.org/2021.wassa-1.23
Marathi,https://aclanthology.org/2021.wassa-1.23
Mandarin,https://aclanthology.org/2021.wassa-1.23
One,https://aclanthology.org/2021.wassa-1.23
Russian,https://aclanthology.org/2021.wassa-1.23
Tamil,https://aclanthology.org/2021.wassa-1.23
Arabic (Modern Standard),https://aclanthology.org/2021.wassa-1.25
One,https://aclanthology.org/2021.wassa-1.25
Dutch,https://aclanthology.org/2021.wassa-1.27
One,https://aclanthology.org/2021.wassa-1.27
English,https://aclanthology.org/2021.wassa-1.29
One,https://aclanthology.org/2021.wassa-1.30
Arabic (Modern Standard),https://aclanthology.org/2021.wanlp-1.1
Arabic (Egyptian),https://aclanthology.org/2021.wanlp-1.2
Arabic (Modern Standard),https://aclanthology.org/2021.wanlp-1.2
Arabic (Lebanese),https://aclanthology.org/2021.wanlp-1.2
Arabic (Syrian),https://aclanthology.org/2021.wanlp-1.2
Arabic (Tunisian),https://aclanthology.org/2021.wanlp-1.2
English,https://aclanthology.org/2021.wanlp-1.2
English,https://aclanthology.org/2021.wanlp-1.3
One,https://aclanthology.org/2021.wanlp-1.3
Even,https://aclanthology.org/2021.wanlp-1.5
Even,https://aclanthology.org/2021.wanlp-1.6
!Xóõ,https://aclanthology.org/2021.wanlp-1.6
One,https://aclanthology.org/2021.wanlp-1.8
One,https://aclanthology.org/2021.wanlp-1.9
Arabic (Modern Standard),https://aclanthology.org/2021.wanlp-1.10
So,https://aclanthology.org/2021.wanlp-1.10
Arabic (Modern Standard),https://aclanthology.org/2021.wanlp-1.11
English,https://aclanthology.org/2021.wanlp-1.12
Even,https://aclanthology.org/2021.wanlp-1.12
One,https://aclanthology.org/2021.wanlp-1.14
English,https://aclanthology.org/2021.wanlp-1.20
Even,https://aclanthology.org/2021.wanlp-1.20
Even,https://aclanthology.org/2021.wanlp-1.23
English,https://aclanthology.org/2021.wanlp-1.24
One,https://aclanthology.org/2021.wanlp-1.24
Arabic (Tunisian),https://aclanthology.org/2021.wanlp-1.25
English,https://aclanthology.org/2021.wanlp-1.27
Arabic (Modern Standard),https://aclanthology.org/2021.wanlp-1.29
Arabic (Modern Standard),https://aclanthology.org/2021.wanlp-1.31
One,https://aclanthology.org/2021.wanlp-1.32
Nai,https://aclanthology.org/2021.wanlp-1.34
Arabic (Modern Standard),https://aclanthology.org/2021.wanlp-1.35
One,https://aclanthology.org/2021.wanlp-1.37
English,https://aclanthology.org/2021.wanlp-1.43
One,https://aclanthology.org/2021.wanlp-1.44
One,https://aclanthology.org/2021.wanlp-1.47
One,https://aclanthology.org/2021.wanlp-1.52
One,https://aclanthology.org/2021.wanlp-1.53
Romanian,https://aclanthology.org/2021.vardial-1.1
German,https://aclanthology.org/2021.vardial-1.3
English,https://aclanthology.org/2021.vardial-1.5
French,https://aclanthology.org/2021.vardial-1.6
German,https://aclanthology.org/2021.vardial-1.6
One,https://aclanthology.org/2021.vardial-1.6
Romanian,https://aclanthology.org/2021.vardial-1.6
English,https://aclanthology.org/2021.vardial-1.7
Gujarati,https://aclanthology.org/2021.vardial-1.7
Hindi,https://aclanthology.org/2021.vardial-1.7
Marathi,https://aclanthology.org/2021.vardial-1.7
Danish,https://aclanthology.org/2021.vardial-1.8
Faroese,https://aclanthology.org/2021.vardial-1.8
Icelandic,https://aclanthology.org/2021.vardial-1.8
Norwegian,https://aclanthology.org/2021.vardial-1.8
Swedish,https://aclanthology.org/2021.vardial-1.8
Romanian,https://aclanthology.org/2021.vardial-1.9
Suki,https://aclanthology.org/2021.vardial-1.9
German,https://aclanthology.org/2021.vardial-1.10
English,https://aclanthology.org/2021.vardial-1.11
Nai,https://aclanthology.org/2021.vardial-1.12
Romanian,https://aclanthology.org/2021.vardial-1.12
Romanian,https://aclanthology.org/2021.vardial-1.13
English,https://aclanthology.org/2021.vardial-1.14
Kannada,https://aclanthology.org/2021.vardial-1.14
Malayalam,https://aclanthology.org/2021.vardial-1.14
One,https://aclanthology.org/2021.vardial-1.14
Tamil,https://aclanthology.org/2021.vardial-1.14
Even,https://aclanthology.org/2021.unimplicit-1.1
One,https://aclanthology.org/2021.unimplicit-1.5
Even,https://aclanthology.org/2021.unimplicit-1.6
One,https://aclanthology.org/2021.trustnlp-1.1
One,https://aclanthology.org/2021.trustnlp-1.5
English,https://aclanthology.org/2021.trustnlp-1.6
French,https://aclanthology.org/2021.trustnlp-1.6
German,https://aclanthology.org/2021.trustnlp-1.6
Spanish,https://aclanthology.org/2021.trustnlp-1.6
Urdu,https://aclanthology.org/2021.trustnlp-1.6
Wolof,https://aclanthology.org/2021.trustnlp-1.6
One,https://aclanthology.org/2021.textgraphs-1.8
German,https://aclanthology.org/2021.textgraphs-1.14
One,https://aclanthology.org/2021.textgraphs-1.15
Even,https://aclanthology.org/2021.textgraphs-1.16
So,https://aclanthology.org/2021.teachingnlp-1.1
So,https://aclanthology.org/2021.teachingnlp-1.2
So,https://aclanthology.org/2021.teachingnlp-1.4
Italian,https://aclanthology.org/2021.teachingnlp-1.7
English,https://aclanthology.org/2021.teachingnlp-1.11
One,https://aclanthology.org/2021.teachingnlp-1.17
One,https://aclanthology.org/2021.teachingnlp-1.24
Italian,https://aclanthology.org/2021.teachingnlp-1.26
Even,https://aclanthology.org/2021.tacl-1.1
German,https://aclanthology.org/2021.tacl-1.1
Galician,https://aclanthology.org/2021.tacl-1.1
Persian,https://aclanthology.org/2021.tacl-1.1
Swedish,https://aclanthology.org/2021.tacl-1.1
Ukrainian,https://aclanthology.org/2021.tacl-1.1
One,https://aclanthology.org/2021.tacl-1.2
Basque,https://aclanthology.org/2021.tacl-1.5
One,https://aclanthology.org/2021.tacl-1.5
English,https://aclanthology.org/2021.tacl-1.8
Even,https://aclanthology.org/2021.tacl-1.8
German,https://aclanthology.org/2021.tacl-1.8
So,https://aclanthology.org/2021.starsem-1.3
So,https://aclanthology.org/2021.starsem-1.4
One,https://aclanthology.org/2021.starsem-1.5
One,https://aclanthology.org/2021.starsem-1.6
English,https://aclanthology.org/2021.starsem-1.9
One,https://aclanthology.org/2021.starsem-1.10
English,https://aclanthology.org/2021.starsem-1.11
One,https://aclanthology.org/2021.starsem-1.11
One,https://aclanthology.org/2021.starsem-1.12
One,https://aclanthology.org/2021.starsem-1.14
One,https://aclanthology.org/2021.starsem-1.16
English,https://aclanthology.org/2021.starsem-1.17
Italian,https://aclanthology.org/2021.starsem-1.17
Japanese,https://aclanthology.org/2021.starsem-1.17
English,https://aclanthology.org/2021.starsem-1.20
One,https://aclanthology.org/2021.starsem-1.20
German,https://aclanthology.org/2021.starsem-1.24
!Xóõ,https://aclanthology.org/2021.spnlp-1.2
German,https://aclanthology.org/2021.spnlp-1.6
Low German,https://aclanthology.org/2021.spnlp-1.6
English,https://aclanthology.org/2021.splurobonlp-1.4
English,https://aclanthology.org/2021.splurobonlp-1.9
Italian,https://aclanthology.org/2021.socialnlp-1.2
One,https://aclanthology.org/2021.socialnlp-1.9
Korean,https://aclanthology.org/2021.socialnlp-1.15
One,https://aclanthology.org/2021.socialnlp-1.15
English,https://aclanthology.org/2021.socialnlp-1.16
Japanese,https://aclanthology.org/2021.socialnlp-1.16
Even,https://aclanthology.org/2021.smm4h-1.1
English,https://aclanthology.org/2021.smm4h-1.3
One,https://aclanthology.org/2021.smm4h-1.3
Spanish,https://aclanthology.org/2021.smm4h-1.3
English,https://aclanthology.org/2021.smm4h-1.4
Russian,https://aclanthology.org/2021.smm4h-1.4
Spanish,https://aclanthology.org/2021.smm4h-1.4
English,https://aclanthology.org/2021.smm4h-1.5
English,https://aclanthology.org/2021.smm4h-1.6
Russian,https://aclanthology.org/2021.smm4h-1.6
One,https://aclanthology.org/2021.smm4h-1.8
One,https://aclanthology.org/2021.smm4h-1.10
Spanish,https://aclanthology.org/2021.smm4h-1.12
English,https://aclanthology.org/2021.smm4h-1.14
Spanish,https://aclanthology.org/2021.smm4h-1.14
English,https://aclanthology.org/2021.smm4h-1.16
Even,https://aclanthology.org/2021.smm4h-1.16
So,https://aclanthology.org/2021.smm4h-1.16
Russian,https://aclanthology.org/2021.smm4h-1.17
Spanish,https://aclanthology.org/2021.smm4h-1.20
Spanish,https://aclanthology.org/2021.smm4h-1.21
English,https://aclanthology.org/2021.smm4h-1.25
Even,https://aclanthology.org/2021.sigtyp-1.5
English,https://aclanthology.org/2021.sigtyp-1.7
One,https://aclanthology.org/2021.sigtyp-1.7
Even,https://aclanthology.org/2021.sigtyp-1.9
French,https://aclanthology.org/2021.sigtyp-1.9
English,https://aclanthology.org/2021.sigtyp-1.10
French,https://aclanthology.org/2021.sigtyp-1.10
German,https://aclanthology.org/2021.sigtyp-1.10
Russian,https://aclanthology.org/2021.sigtyp-1.10
One,https://aclanthology.org/2021.sigtyp-1.11
English,https://aclanthology.org/2021.sigmorphon-1.2
So,https://aclanthology.org/2021.sigmorphon-1.2
Cantonese,https://aclanthology.org/2021.sigmorphon-1.4
Mandarin,https://aclanthology.org/2021.sigmorphon-1.4
Thai,https://aclanthology.org/2021.sigmorphon-1.4
Vietnamese,https://aclanthology.org/2021.sigmorphon-1.4
One,https://aclanthology.org/2021.sigmorphon-1.10
Shona,https://aclanthology.org/2021.sigmorphon-1.18
Navajo,https://aclanthology.org/2021.sigmorphon-1.19
Even,https://aclanthology.org/2021.sigmorphon-1.20
Gitksan,https://aclanthology.org/2021.sigmorphon-1.21
Bosnian,https://aclanthology.org/2021.sigmorphon-1.22
Even,https://aclanthology.org/2021.sigmorphon-1.22
Kannada,https://aclanthology.org/2021.sigmorphon-1.22
Russian,https://aclanthology.org/2021.sigmorphon-1.22
Even,https://aclanthology.org/2021.sigdial-1.1
Even,https://aclanthology.org/2021.sigdial-1.7
!Xóõ,https://aclanthology.org/2021.sigdial-1.7
Even,https://aclanthology.org/2021.sigdial-1.9
One,https://aclanthology.org/2021.sigdial-1.10
Tod,https://aclanthology.org/2021.sigdial-1.12
Even,https://aclanthology.org/2021.sigdial-1.15
So,https://aclanthology.org/2021.sigdial-1.16
English,https://aclanthology.org/2021.sigdial-1.18
Ncàm,https://aclanthology.org/2021.sigdial-1.21
Even,https://aclanthology.org/2021.sigdial-1.24
Even,https://aclanthology.org/2021.sigdial-1.25
One,https://aclanthology.org/2021.sigdial-1.35
Even,https://aclanthology.org/2021.sigdial-1.42
Even,https://aclanthology.org/2021.sigdial-1.50
Even,https://aclanthology.org/2021.sigdial-1.56
So,https://aclanthology.org/2021.sigdial-1.58
English,https://aclanthology.org/2021.semeval-1.1
English,https://aclanthology.org/2021.semeval-1.3
French,https://aclanthology.org/2021.semeval-1.3
Russian,https://aclanthology.org/2021.semeval-1.3
English,https://aclanthology.org/2021.semeval-1.11
Mae,https://aclanthology.org/2021.semeval-1.11
One,https://aclanthology.org/2021.semeval-1.14
English,https://aclanthology.org/2021.semeval-1.17
English,https://aclanthology.org/2021.semeval-1.18
Even,https://aclanthology.org/2021.semeval-1.18
French,https://aclanthology.org/2021.semeval-1.18
Russian,https://aclanthology.org/2021.semeval-1.18
English,https://aclanthology.org/2021.semeval-1.27
English,https://aclanthology.org/2021.semeval-1.29
One,https://aclanthology.org/2021.semeval-1.37
Aka,https://aclanthology.org/2021.semeval-1.44
English,https://aclanthology.org/2021.semeval-1.44
English,https://aclanthology.org/2021.semeval-1.48
One,https://aclanthology.org/2021.semeval-1.51
One,https://aclanthology.org/2021.semeval-1.61
English,https://aclanthology.org/2021.semeval-1.62
One,https://aclanthology.org/2021.semeval-1.64
Mae,https://aclanthology.org/2021.semeval-1.66
English,https://aclanthology.org/2021.semeval-1.67
English,https://aclanthology.org/2021.semeval-1.68
One,https://aclanthology.org/2021.semeval-1.74
Mae,https://aclanthology.org/2021.semeval-1.77
Even,https://aclanthology.org/2021.semeval-1.78
So,https://aclanthology.org/2021.semeval-1.79
English,https://aclanthology.org/2021.semeval-1.81
English,https://aclanthology.org/2021.semeval-1.82
English,https://aclanthology.org/2021.semeval-1.83
Andi,https://aclanthology.org/2021.semeval-1.84
English,https://aclanthology.org/2021.semeval-1.84
Even,https://aclanthology.org/2021.semeval-1.85
English,https://aclanthology.org/2021.semeval-1.86
English,https://aclanthology.org/2021.semeval-1.89
English,https://aclanthology.org/2021.semeval-1.91
English,https://aclanthology.org/2021.semeval-1.92
English,https://aclanthology.org/2021.semeval-1.94
French,https://aclanthology.org/2021.semeval-1.94
Russian,https://aclanthology.org/2021.semeval-1.94
English,https://aclanthology.org/2021.semeval-1.95
One,https://aclanthology.org/2021.semeval-1.95
French,https://aclanthology.org/2021.semeval-1.96
Russian,https://aclanthology.org/2021.semeval-1.96
So,https://aclanthology.org/2021.semeval-1.98
English,https://aclanthology.org/2021.semeval-1.100
French,https://aclanthology.org/2021.semeval-1.100
Russian,https://aclanthology.org/2021.semeval-1.100
French,https://aclanthology.org/2021.semeval-1.103
One,https://aclanthology.org/2021.semeval-1.103
Russian,https://aclanthology.org/2021.semeval-1.103
English,https://aclanthology.org/2021.semeval-1.104
French,https://aclanthology.org/2021.semeval-1.104
Russian,https://aclanthology.org/2021.semeval-1.104
Duma,https://aclanthology.org/2021.semeval-1.105
One,https://aclanthology.org/2021.semeval-1.107
English,https://aclanthology.org/2021.semeval-1.111
One,https://aclanthology.org/2021.semeval-1.120
One,https://aclanthology.org/2021.semeval-1.122
One,https://aclanthology.org/2021.semeval-1.125
One,https://aclanthology.org/2021.semeval-1.127
So,https://aclanthology.org/2021.semeval-1.128
One,https://aclanthology.org/2021.semeval-1.132
So,https://aclanthology.org/2021.semeval-1.134
Even,https://aclanthology.org/2021.semeval-1.138
One,https://aclanthology.org/2021.semeval-1.140
One,https://aclanthology.org/2021.semeval-1.143
One,https://aclanthology.org/2021.semeval-1.144
One,https://aclanthology.org/2021.semeval-1.149
One,https://aclanthology.org/2021.semeval-1.159
English,https://aclanthology.org/2021.semeval-1.160
One,https://aclanthology.org/2021.semeval-1.160
Even,https://aclanthology.org/2021.semeval-1.163
One,https://aclanthology.org/2021.semeval-1.185
One,https://aclanthology.org/2021.sdp-1.2
Even,https://aclanthology.org/2021.sdp-1.8
Even,https://aclanthology.org/2021.sdp-1.13
Even,https://aclanthology.org/2021.repl4nlp-1.1
So,https://aclanthology.org/2021.repl4nlp-1.3
English,https://aclanthology.org/2021.repl4nlp-1.4
Even,https://aclanthology.org/2021.repl4nlp-1.5
Even,https://aclanthology.org/2021.repl4nlp-1.10
So,https://aclanthology.org/2021.repl4nlp-1.15
Nepali,https://aclanthology.org/2021.repl4nlp-1.18
One,https://aclanthology.org/2021.repl4nlp-1.19
One,https://aclanthology.org/2021.repl4nlp-1.21
One,https://aclanthology.org/2021.repl4nlp-1.23
One,https://aclanthology.org/2021.repl4nlp-1.26
One,https://aclanthology.org/2021.repl4nlp-1.31
Even,https://aclanthology.org/2021.nuse-1.5
One,https://aclanthology.org/2021.nuse-1.5
One,https://aclanthology.org/2021.nuse-1.6
Even,https://aclanthology.org/2021.nuse-1.7
Even,https://aclanthology.org/2021.nuse-1.8
English,https://aclanthology.org/2021.nodalida-main.1
Estonian,https://aclanthology.org/2021.nodalida-main.2
Even,https://aclanthology.org/2021.nodalida-main.2
Danish,https://aclanthology.org/2021.nodalida-main.3
English,https://aclanthology.org/2021.nodalida-main.3
Norwegian,https://aclanthology.org/2021.nodalida-main.3
Swedish,https://aclanthology.org/2021.nodalida-main.3
Norwegian,https://aclanthology.org/2021.nodalida-main.4
Estonian,https://aclanthology.org/2021.nodalida-main.5
Finnish,https://aclanthology.org/2021.nodalida-main.5
Icelandic,https://aclanthology.org/2021.nodalida-main.7
Norwegian,https://aclanthology.org/2021.nodalida-main.12
One,https://aclanthology.org/2021.nodalida-main.13
Swedish,https://aclanthology.org/2021.nodalida-main.13
English,https://aclanthology.org/2021.nodalida-main.14
Finnish,https://aclanthology.org/2021.nodalida-main.14
English,https://aclanthology.org/2021.nodalida-main.16
Finnish,https://aclanthology.org/2021.nodalida-main.16
French,https://aclanthology.org/2021.nodalida-main.16
Swedish,https://aclanthology.org/2021.nodalida-main.16
Swedish,https://aclanthology.org/2021.nodalida-main.18
German,https://aclanthology.org/2021.nodalida-main.19
One,https://aclanthology.org/2021.nodalida-main.20
Swedish,https://aclanthology.org/2021.nodalida-main.20
Norwegian,https://aclanthology.org/2021.nodalida-main.22
So,https://aclanthology.org/2021.nodalida-main.22
One,https://aclanthology.org/2021.nodalida-main.23
So,https://aclanthology.org/2021.nodalida-main.23
Swedish,https://aclanthology.org/2021.nodalida-main.23
English,https://aclanthology.org/2021.nodalida-main.24
Finnish,https://aclanthology.org/2021.nodalida-main.24
Finnish,https://aclanthology.org/2021.nodalida-main.25
Swedish,https://aclanthology.org/2021.nodalida-main.26
Swedish,https://aclanthology.org/2021.nodalida-main.27
Finnish,https://aclanthology.org/2021.nodalida-main.29
Norwegian,https://aclanthology.org/2021.nodalida-main.30
One,https://aclanthology.org/2021.nodalida-main.32
Faroese,https://aclanthology.org/2021.nodalida-main.33
Icelandic,https://aclanthology.org/2021.nodalida-main.33
English,https://aclanthology.org/2021.nodalida-main.36
Even,https://aclanthology.org/2021.nodalida-main.36
Finnish,https://aclanthology.org/2021.nodalida-main.36
Finnish,https://aclanthology.org/2021.nodalida-main.37
Swedish,https://aclanthology.org/2021.nodalida-main.38
English,https://aclanthology.org/2021.nodalida-main.42
Even,https://aclanthology.org/2021.nodalida-main.42
Finnish,https://aclanthology.org/2021.nodalida-main.42
English,https://aclanthology.org/2021.nodalida-main.43
German,https://aclanthology.org/2021.nodalida-main.43
One,https://aclanthology.org/2021.nodalida-main.43
English,https://aclanthology.org/2021.nodalida-main.44
Icelandic,https://aclanthology.org/2021.nodalida-main.45
So,https://aclanthology.org/2021.nodalida-main.45
Danish,https://aclanthology.org/2021.nodalida-main.46
One,https://aclanthology.org/2021.nodalida-main.46
Danish,https://aclanthology.org/2021.nodalida-main.47
English,https://aclanthology.org/2021.nodalida-main.47
Icelandic,https://aclanthology.org/2021.nodalida-main.48
Icelandic,https://aclanthology.org/2021.nodalida-main.50
Norwegian,https://aclanthology.org/2021.nodalida-main.51
English,https://aclanthology.org/2021.nodalida-main.52
Swedish,https://aclanthology.org/2021.nodalida-main.52
Danish,https://aclanthology.org/2021.nodalida-main.53
Swedish,https://aclanthology.org/2021.nodalida-main.54
One,https://aclanthology.org/2021.nlpmc-1.1
One,https://aclanthology.org/2021.nlpmc-1.8
So,https://aclanthology.org/2021.nlp4prog-1.3
So,https://aclanthology.org/2021.nlp4prog-1.9
One,https://aclanthology.org/2021.nlp4prog-1.10
Cantonese,https://aclanthology.org/2021.nlp4posimpact-1.1
One,https://aclanthology.org/2021.nlp4posimpact-1.1
So,https://aclanthology.org/2021.nlp4posimpact-1.2
So,https://aclanthology.org/2021.nlp4posimpact-1.3
Urdu,https://aclanthology.org/2021.nlp4posimpact-1.7
German,https://aclanthology.org/2021.nlp4posimpact-1.10
One,https://aclanthology.org/2021.nlp4posimpact-1.12
One,https://aclanthology.org/2021.nlp4posimpact-1.13
So,https://aclanthology.org/2021.nlp4posimpact-1.13
Even,https://aclanthology.org/2021.nlp4posimpact-1.15
One,https://aclanthology.org/2021.nlp4posimpact-1.16
So,https://aclanthology.org/2021.nlp4if-1.1
Dutch,https://aclanthology.org/2021.nlp4if-1.2
One,https://aclanthology.org/2021.nlp4if-1.3
Finnish,https://aclanthology.org/2021.nlp4if-1.6
One,https://aclanthology.org/2021.nlp4if-1.6
One,https://aclanthology.org/2021.nlp4if-1.9
Bulgarian,https://aclanthology.org/2021.nlp4if-1.12
English,https://aclanthology.org/2021.nlp4if-1.12
One,https://aclanthology.org/2021.nlp4if-1.12
So,https://aclanthology.org/2021.nlp4if-1.12
One,https://aclanthology.org/2021.nlp4if-1.15
English,https://aclanthology.org/2021.nlp4if-1.16
English,https://aclanthology.org/2021.nlp4if-1.18
Bulgarian,https://aclanthology.org/2021.nlp4if-1.19
English,https://aclanthology.org/2021.nlp4if-1.19
Bulgarian,https://aclanthology.org/2021.nlp4if-1.20
English,https://aclanthology.org/2021.nlp4if-1.20
One,https://aclanthology.org/2021.naacl-tutorials.6
Czech,https://aclanthology.org/2021.naacl-srw.1
English,https://aclanthology.org/2021.naacl-srw.1
German,https://aclanthology.org/2021.naacl-srw.1
Icelandic,https://aclanthology.org/2021.naacl-srw.2
One,https://aclanthology.org/2021.naacl-srw.2
English,https://aclanthology.org/2021.naacl-srw.3
French,https://aclanthology.org/2021.naacl-srw.3
Russian,https://aclanthology.org/2021.naacl-srw.3
Spanish,https://aclanthology.org/2021.naacl-srw.3
English,https://aclanthology.org/2021.naacl-srw.6
English,https://aclanthology.org/2021.naacl-srw.7
German,https://aclanthology.org/2021.naacl-srw.7
One,https://aclanthology.org/2021.naacl-srw.8
One,https://aclanthology.org/2021.naacl-srw.9
Tamil,https://aclanthology.org/2021.naacl-srw.13
Bété,https://aclanthology.org/2021.naacl-srw.16
Bengali,https://aclanthology.org/2021.naacl-srw.19
One,https://aclanthology.org/2021.naacl-srw.19
One,https://aclanthology.org/2021.naacl-main.3
One,https://aclanthology.org/2021.naacl-main.5
Even,https://aclanthology.org/2021.naacl-main.7
One,https://aclanthology.org/2021.naacl-main.7
Dutch,https://aclanthology.org/2021.naacl-main.10
English,https://aclanthology.org/2021.naacl-main.10
German,https://aclanthology.org/2021.naacl-main.10
Russian,https://aclanthology.org/2021.naacl-main.10
