low_resource_lang,high_resource_lang,type_experiment,low_perplexity_before,low_perplexity_after_training_iterations,low_perplexity_after_training_epochs
Atikamekw,None,tree,61.71559963621765,,
Cheyenne,None,tree,28.5227509380553,,
Tsonga,Swahili,tree,40.405174766927765,"[24.331803731787844, 25.87190033524188, 28.2128384779253, 30.656692031298086, 32.726944207323704, 35.38745159183741, 37.23318826939752, 39.78095531936595, 43.863047064855046, 44.98982262388372, 50.37406750831062, 51.99084044105573, 58.24899230720379, 61.81579499631173, 65.94875763795125, 66.06525960836701, 60.95967852521258, 68.74655732023571, 72.51987919877152, 66.46103543798817]","[74.56051957167855, 93.32734846136974, 117.26906327966685, 174.50223802247274, 833.5504399650215, 800.5085697417636, 829.0718620833649, 890.2705458218645, 849.6696819336232, 839.5081175447672, 842.3471232936733, 827.1181548163354, 929.8340818987427, 893.6987783748093, 921.7232149702576, 947.7632192076321, 912.88525131911, 918.0140505151677, 936.8716373339302, 902.9374139273848]"
Rundi,Swahili,tree,21.92062834441432,"[9.783177291629537, 9.504213022559103, 10.438879371083729, 11.217135834123019, 12.618316793399828, 13.586367428924623, 14.020592800937585, 14.849044401156501, 15.990761141233385, 16.221803976972268, 19.075299887737014, 19.68475077424226, 22.548932168896734, 23.58057095889345, 24.51184712532129, 25.543084871412013, 24.772605478933077, 28.490658706884396, 29.71552230622148, 26.692419694083746]",
Swati,Swahili,tree,40.65004975365579,"[21.69934452965862, 22.0250908277803, 23.379803859554045, 26.49391381708981, 30.991153341473083, 31.232205138380728, 33.9715840481864, 36.45035071876124, 41.129180452961215, 42.13690743334329, 51.72991125683401, 50.44816601916715, 56.76126985172931, 61.05106117445947, 65.5184154808101, 70.155924837117, 71.69591394608129, 79.66002051970877, 82.80219640451136, 78.1169254880628]",
Kongo,Swahili,tree,26.460540726650468,"[7.713420520893267, 4.89219248354804, 4.663092440242795, 4.876821602416078, 4.7363706117094955, 4.712562963904129, 5.155591340268009, 5.113559417654461, 5.48282826991687, 5.6686083584029765, 5.980679701928869, 6.199685432502744, 6.373729090944756, 6.278232834894532, 6.37040250809284, 6.885616817054541, 6.721322002326298, 6.8480112501538235, 7.16425281655105, 7.059141550682192]",
Sesotho,Swahili,tree,12.76642017290835,"[6.988791127810496, 7.041071858880044, 8.260619822976217, 9.36706441320794, 10.812962537067945, 12.959601285198483, 13.756416635750442, 15.722022372676046, 19.795278744600672, 20.745743887655355, 24.292351635581493, 25.495891105610376, 30.452390796722714, 31.441201585140846, 35.9537584043349, 40.529849267774054, 39.24189070708073, 43.18003972803852, 49.231479730248644, 45.1603232768205]",
Venda,Swahili,tree,31.94734744135321,"[14.704073456904572, 11.890778713618355, 12.19512883634748, 13.003165380649655, 13.513412150655952, 13.708783665007163, 15.028568052965998, 14.793605934451456, 15.871447147913935, 15.074886583133733, 17.704652065152814, 17.500886626171283, 19.288372603271476, 20.243792737954685, 18.63318736490453, 21.434943594235126, 20.480629500134754, 20.141757505272057, 21.878903070490995, 19.883777791958867]",
Chichewa,Swahili,tree,13.71968199451292,"[8.80345738815488, 10.358331509590489, 12.942179073436423, 15.390011043715436, 18.82460130887512, 22.08834049476695, 23.774377167866792, 27.71857288421707, 32.07575613567797, 34.15437493926257, 39.83206259490925, 41.245023177993424, 47.57208387604643, 50.24825480517999, 52.85466295907363, 59.86306998025875, 57.00106402952505, 61.31763328962105, 63.56619421690153, 61.2909667318014]",
Kikuyu,Swahili,tree,38.80790386685078,"[13.13208744993511, 8.902068049878471, 8.41892117431785, 8.792179292662182, 8.820847820064676, 8.634118353013369, 8.889447730241773, 8.989285414114118, 9.602606402637244, 9.622382186649439, 10.774816837087398, 10.278900486015397, 10.545009726313959, 10.881592745640079, 11.22515081173174, 11.935798591780543, 11.799815529148592, 11.863411094955211, 11.889566977816186, 10.714068447734858]",
