hr_lang,Akan,Atikamekw,Bambara,Bhojpuri,Cantonese,Chichewa,Coptic,Dagbani,Greenlandic (South),Guaraní,Kashmiri,Komi-Zyrian,Koryak,Kurmanji,Madurese,Nanai,Quiché,Romani (Lovari),Rundi,Samoan,Sesotho,Shor,Sranan,Swati,Tabassaran,Tat (Muslim),Tofa,Tsakhur,Tsonga,Udi,Yukaghir (Kolyma)
Abaza,0.19241031722502225,0.23616012907129172,0.20454545454545456,0.020226537216828478,0.028975265017667843,0.16573213145006743,0.3230769230769231,0.18958790538892953,0.22757579569757203,0.32051282051282054,0.32019278299555115,0.8566788469346326,0.6798528058877645,0.2900473933649289,0.19421768707482992,0.715968841285297,0.21889870836165873,0.1524870888828486,0.19460935644739966,0.19845493562231759,0.17718782428225527,0.7671154397020911,0.24879308409116424,0.16253136325620296,0.851140456182473,0.8604556550040684,0.7226890756302521,0.8437713504896379,0.18042395232978412,0.8836443468715697,0.8797736916548797
Adyghe (Shapsugh),0.26571301512007117,0.35595442170011093,0.27665397429795335,0.04611650485436893,0.057950530035335686,0.22925686705940804,0.6153846153846154,0.2595708363813704,0.31525978110454145,0.3782051282051282,0.39841819080573404,0.9066179455948031,0.7779822140447715,0.3118483412322275,0.27653061224489794,0.8331061343719571,0.2726036709721278,0.21201413427561838,0.25053431488957495,0.3463519313304721,0.25025942580422,0.8282727012317388,0.3417536768833502,0.22906793048973143,0.89015606242497,0.9153783563873068,0.7528011204481793,0.8845365520382601,0.2449936504835401,0.909549945115258,0.9316360207449317
Afrikaans,0.9401867773495405,0.9356660280326712,0.9364588291289861,0.23624595469255663,0.3102473498233215,0.9203634040741003,0.8153846153846154,0.927822482321385,0.9256510252861995,0.938034188034188,0.4364804745427583,0.36825010150223303,0.364458754983134,0.8255924170616113,0.9020408163265307,0.4427458617332035,0.8810333106730116,0.8494156020657787,0.8864877701258609,0.9404291845493562,0.9311656866136285,0.3229733600687482,0.9531828898619064,0.9147848712944894,0.29471788715486197,0.38689991863303497,0.3543417366946779,0.41676155773172396,0.9243919116928788,0.3018660812294182,0.3884959924563885
Altai (Southern),0.16676549066113253,0.22768982555208228,0.16063779152784388,0.020226537216828478,0.02049469964664311,0.13833487117609483,0.3076923076923077,0.16215557181175322,0.21323436910303184,0.1794871794871795,0.30771131982204647,0.8380024360535931,0.6258049678012879,0.13886255924170615,0.170578231292517,0.7226874391431354,0.11624745071380013,0.1267328078282142,0.13856566136309664,0.1829184549356223,0.15012106537530268,0.8012030936694357,0.21780621982710227,0.1289842951398569,0.7877150860344138,0.853539462978031,0.7899159663865546,0.7879754042359371,0.146234248314936,0.8322722283205269,0.8708156529938709
Arabic (Modern Standard),0.04528609546397865,0.06211555914086921,0.05378391242265588,0.014563106796116505,0.009187279151943463,0.047341897934558876,0.1076923076923077,0.055596196049743966,0.08403572776449868,0.027777777777777776,0.23479980227385072,0.011774259033698742,0.03350199325360319,0.045023696682464455,0.06318027210884354,0.06523855890944498,0.01495581237253569,0.03825767871704267,0.0458323438613156,0.06240343347639485,0.05249048772051193,0.05127470638785448,0.06915908835747166,0.051482204256110026,0.014405762304921969,0.030919446704637917,0.018207282913165267,0.027100888180368935,0.048549379701084305,0.01163556531284303,0.033946251768033946
Arabic (Moroccan),0.2642306552030833,0.34486235756781286,0.28998096144693003,0.03398058252427184,0.06713780918727916,0.24132301795727162,0.38461538461538464,0.26322848085832723,0.3348848911812807,0.2841880341880342,0.36690558576371723,0.03613479496548924,0.08226004293161607,0.23317535545023696,0.291921768707483,0.15511197663096396,0.21549966009517335,0.1964528404457733,0.2428164331512705,0.3181115879828326,0.2661708751297129,0.09223718132340304,0.3315369933759964,0.24179908930396804,0.037615046018407365,0.06387306753458095,0.047619047619047616,0.08904577544978365,0.25319917944710363,0.038419319429198684,0.07355021216407355
Armenian (Iranian),0.92439964423362,0.9322375718463245,0.9341980009519276,0.156957928802589,0.34558303886925795,0.9193697210589822,0.7846153846153846,0.9329431845891246,0.9090451629135741,0.9230769230769231,0.4561295106277805,0.3576938692651238,0.36430542778288866,0.9279620853080569,0.8917517006802721,0.4452775073028238,0.8932698844323589,0.8424164175047567,0.9070292092139635,0.9262660944206008,0.911708751297129,0.3319965625895159,0.9278095879645223,0.8956416689898709,0.29191676670668265,0.38812042310821804,0.35714285714285715,0.43224777954907767,0.9134512064081274,0.3185510428100988,0.40405469118340404
Assamese,0.6606878150014823,0.6524150448724413,0.6038791051880057,0.2111650485436893,0.09681978798586573,0.6184257221946199,0.6307692307692307,0.6584979273347964,0.5903887281419047,0.6132478632478633,0.2518536826495304,0.03126268777913114,0.12963814780742103,0.4985781990521327,0.5818877551020408,0.15988315481986368,0.539768864717879,0.5146099483555314,0.5737354547613394,0.6496137339055794,0.6210653753026635,0.08321397880263535,0.6310766812619288,0.595669547439829,0.041216486594637856,0.05858421480878763,0.04411764705882353,0.1229788203142792,0.6149262479241966,0.04259055982436882,0.07496463932107496
Asturian,0.9419656092499259,0.9500857114046587,0.9484769157544026,0.1610032362459547,0.44098939929328623,0.9374689474057776,0.676923076923077,0.9506217995610826,0.9296766888916845,0.967948717948718,0.39050914483440435,0.29070239545269994,0.31869058570990494,0.8407582938388626,0.9072278911564626,0.39902629016553065,0.9184228416043508,0.9025550421310139,0.9175967703633341,0.9493562231759657,0.9336734693877551,0.27227155542824405,0.9373526439878747,0.9181302852894713,0.22549019607843138,0.3047192839707079,0.28361344537815125,0.3554998861307219,0.9309367978900068,0.23688254665203073,0.32673267326732675
Atayal,0.3691817373258227,0.48714328930119993,0.44193241313660164,0.019417475728155338,0.488339222614841,0.3720633118035347,0.38461538461538464,0.40697390880273104,0.42483331236633537,0.48717948717948717,0.12382600098863075,0.015022330491270807,0.09889604415823366,0.4156398104265403,0.429421768707483,0.15394352482960078,0.513256288239293,0.2860831747757543,0.38969365946331036,0.40626609442060085,0.3849014181943964,0.0958178172443426,0.47647917368361964,0.358609794628752,0.026810724289715888,0.0402766476810415,0.02030812324929972,0.08494648143930768,0.4157468008205529,0.02283205268935236,0.05091937765205092
