hr_lang,Akan,Atikamekw,Bambara,Bhojpuri,Bislama,Cantonese,Chamorro,Cherokee,Cheyenne,Chichewa,Coptic,Dagbani,Ewe,Greenlandic (South),Guaraní,Kashmiri,Kikuyu,Komi-Zyrian,Kongo,Koryak,Kurmanji,Madurese,Nadroga,Nanai,Nauruan,Quiché,Romani (Lovari),Rundi,Samoan,Sango,Sesotho,Shor,Sranan,Swati,Tabassaran,Tahitian,Tat (Muslim),Tigrinya,Tofa,Tok Pisin,Tsakhur,Tsonga,Udi,Venda,Yukaghir (Kolyma),Zhuang (Northern)
Abaza,546.253749650925,688.7938425961563,527.8705104086341,2150.669896579467,654.0990728002328,1220.599818494261,739.6016395929639,223.08954635305307,495.0916449433324,802.42970053607,152.78257429285094,637.5929927520608,553.4282328445272,899.5036668403279,10.708936606051992,900.9958727027438,625.5682952764325,468.6503093613221,626.2706245875647,388.24692102168444,525.9283262621898,729.4686093720695,635.5501860671404,307.34388926566874,635.1298705072941,547.3165182342336,775.1595824330689,638.4588591530148,373.28257491160974,440.66062275848526,521.4986082785005,469.7206843322688,527.5347157852452,964.128606021752,337.4517692609807,459.4062271059339,452.0089194162317,1683.4462740950808,523.3425831438724,672.260109311206,367.2870397733541,740.0538931957003,280.32136612124964,651.3346807124957,429.2143118692524,864.3472138053537
Acehnese,336.73654771057187,449.7644264342731,304.8158730234968,1155.4080778731468,146.08819761825873,1775.8501134987246,205.86156329108437,140.9829262191614,101.80184251206768,670.8419776152327,205.37990196995096,518.8129342111932,321.9582321823715,570.3338440829405,13.15952771811915,299.52109534619086,232.8574300993102,546.5761975744139,158.0963041509612,358.6673474784182,779.7997560981354,276.43205490673427,249.49456495419415,357.5170869351869,109.44270304323163,543.5720619543347,507.6691607774539,380.35221692789526,221.9235517564517,233.89256542929144,318.9160153667497,562.305512400985,283.9719030067323,630.7041641848236,332.6931619247952,100.93305890410578,496.7909586240138,1536.0028339144121,649.5086378890069,165.83997547562876,352.1463596982969,563.6748017618083,323.6093296044059,365.15858406733355,482.0767105340098,299.8382795794968
Adyghe (Shapsugh),464.3020445448586,594.2423614700125,467.4220477785106,12692.998345249478,191.88974714253592,4244.5280949263715,297.8865805235237,389.06020249204926,131.1594374890061,966.5984379277437,353.8181403232059,773.6146158720934,456.99389351188785,722.6685726005292,23.49009350329995,1115.6128671183264,350.9945521348429,420.7123189323497,221.74460510442842,294.10472764770424,1110.4046551973659,519.4503506266805,409.47027071925726,272.6396261225564,124.06384731221385,1194.4779148227549,659.472358030621,529.0492796938024,348.79134876481265,472.9789770245494,532.9010882251813,500.5575120166601,434.5914875587622,866.1232217215348,305.85199180131605,137.44294757402665,497.9027186910067,2695.137687560191,663.3944538150237,243.17316871932928,237.171299640264,855.2531123748914,281.32740101408393,511.2500702457899,306.9551778532864,436.7427166427505
Afrikaans,30.036842578893598,49.77506198764029,40.33316695632257,69240.61053006945,17.500573271483805,54.85553234961762,25.100513667031926,10.178333374783291,10.654665493790757,43.55143672844476,10.210896760755595,58.84199896340454,25.007855649454356,39.6856709508809,6.3502802162091205,37.229434330138744,26.70483787681903,108.05280561626891,17.09952712371516,56.673513321116864,66.2268617533169,31.811894159118886,32.389679157724814,47.049785293057845,15.158688234550016,73.69629355981378,40.436820462330495,33.501705202057295,23.95496571319069,21.16926899407661,26.219088305959502,99.4298861528691,14.094803304855478,53.08138750395873,59.23436135548246,10.986858814405748,82.90590836719966,24.938415482963578,62.16278138616894,19.68156861585099,35.28785274159559,48.76178433791167,72.88193264068266,29.181124846986698,76.7720268177704,24.74818379283093
Altai (Southern),490.4598725418735,541.2767489798704,455.960636670139,26104.468707920998,383.86929767997674,248.25744333679103,402.2539734724528,51.57960352532469,264.32256992473657,641.2457658353536,30.818617949694957,457.4755576269904,407.307315720931,382.5183053650388,18.432214682503997,430.32197625548486,482.7741274940316,307.4510323669462,431.2553178780206,410.91016008443614,363.51086031011795,424.6518574550661,475.0023401996772,307.73400175229574,333.0338806048533,317.0750777415582,482.57639151742245,575.3302922848873,331.1473948397553,252.9186013705971,396.0198868592853,380.05372487523437,385.45897854593983,674.8260201563876,349.36167784549593,310.94418843074044,386.9458249197566,176.69170760604865,384.5631083171506,351.42553612415077,196.7487132367222,550.2311084347583,310.65895938336575,572.5364430086473,406.88927920924505,378.36555466981747
Amharic,202.18739908071953,275.00852670315857,212.5080649636559,30301.18410198519,148.9247781400402,348.7875858703262,159.71228112757535,63.802871475607525,103.71641256830742,439.91296777683203,42.1425492287537,267.85228785913864,203.16040474230485,325.4674140747127,4.475377509255573,356.96448548912593,171.74498250931913,626.5346897566744,144.75161824995473,321.62073437137474,509.5488635756155,296.1300770075086,266.72660286789545,237.39692794196628,119.10991251831868,308.8953859130416,383.3888357906739,262.41415866868294,149.12479136553247,155.38332052435533,240.12934607800028,587.5279108882415,155.91556243486428,501.6665371055061,387.5609165806263,73.27158345654698,618.2456823724199,72.52509256891834,583.4999137397032,164.60660600657798,271.75371261433867,357.7004982006639,535.9278471168592,195.24503727158523,536.5893125320547,206.95664923977992
Arabic (Egyptian),66.94027221994418,101.63298110689153,84.24926922483328,74.85812632858735,42.93056441640268,71.55803266616213,56.853575040949444,15.693052804297604,29.920363578888868,77.55612121283663,11.837356349634137,98.14449674458581,60.64616158737939,77.96753917123377,8.686682330202842,74.5234875836769,58.31550172618221,131.7489211548313,42.44720777635896,112.30707992037314,91.23583627726758,73.97823641565186,71.5463265271866,87.5892853876048,40.382326737371145,115.39946690205375,86.25828468139206,60.73385628897305,44.969873244738054,48.80390012476787,55.2037215579693,168.23244108182874,38.665227297825496,99.11614650414731,102.7098904670674,28.0567255301335,123.51628754709242,40.18024226179899,101.36213006383646,48.882887857611394,70.42424424767674,87.07209265505512,106.48923492628474,60.68748189613881,153.85898350622813,60.05925052489022
Arabic (Modern Standard),185.10071582308993,271.0019480754115,192.88373220025625,74179.84069926376,191.70758059320508,367.0044781928141,201.19537811566863,80.62730155387428,142.44096474491403,349.44901451995497,99.99140406124047,226.1371101272393,185.3264481314868,333.9210813528171,4.113946617618222,287.03612864770906,190.95234777437858,386.73172939279505,206.7527709676946,250.40615094528118,436.3584467749487,257.37805271258406,251.68870962581812,176.83987783764053,191.91916669952525,235.04362995887067,340.90872758880926,279.2963682022906,151.8305415031993,134.23300602169687,220.8386557959512,404.6328018820076,140.69294740335906,430.3948847533023,257.41257825109375,115.98628446166217,327.522994782243,108.45683426662077,318.15036850744207,197.7834361193238,170.14942588113507,311.90110350863694,328.31729483161297,207.06321235227625,319.4764552108032,228.11375900876155
Arabic (Moroccan),177.60846663296007,266.92482048196956,199.76101031935966,42214.27229917208,184.73328429538458,427.0020957756184,208.85418725060885,88.78652716391208,135.45023506889277,352.45749229136123,87.31796194936089,228.0426604430539,179.38084653822008,350.5505986284093,4.2977683867830265,274.54619246805044,194.00415804354648,386.3522195330013,198.09688151338858,238.73399556784105,408.933546853211,249.80699044485334,246.92895794036886,170.9292155463534,185.18100314533618,227.9908629649461,348.9436740390074,277.83425162141197,142.57106764747337,134.07046200275028,210.89214455855202,381.04881098556433,141.96278925183566,407.68631661482897,249.9559194787582,120.95436229997375,319.7729921934074,99.93248521312361,318.00901000528876,188.21436471061935,162.09598312784246,302.5688254158795,321.57513579490694,206.29962163621286,301.2501718610613,231.70589384865903
Armenian (Iranian),131.41804693723287,194.09880753485314,135.1982252052531,31898.93649568489,107.66790738379808,226.01155113012055,131.37926793476396,50.977947257315115,73.82329749459934,286.52804092127224,32.75213352880759,162.99458364445005,136.84339771985276,231.4843590266288,5.055914462627648,182.79316917114772,127.40410307020706,277.1613793913601,106.58310051903747,199.49988895139055,347.5520640206053,162.3797743277988,164.24623887933,143.4212073684031,98.45543998239849,172.5003401008925,238.56767092077803,185.71931751564557,103.91478910658041,98.9670180860805,162.09535072862923,312.8684617382604,83.76649957594657,368.8313242170919,198.60089870748945,69.05201345153955,254.28959746788505,112.60816494347982,261.3126797900574,112.97989987202035,119.95145063335085,239.8851074208209,209.07683512022152,147.4042968903957,243.1770242204839,142.39479070350035
